iter	Logloss
0	0.67876129
1	0.6653210729
2	0.65237682
3	0.6409262422
4	0.6278099081
5	0.6170610202
6	0.6055667996
7	0.5945057707
8	0.5853379671
9	0.5773778166
10	0.5686535071
11	0.5606830412
12	0.5537631328
13	0.5474499669
14	0.5415651784
15	0.5357386619
16	0.52991131
17	0.523602166
18	0.518079458
19	0.513100276
20	0.5084006992
21	0.5043237483
22	0.5003380063
23	0.4965069698
24	0.493018758
25	0.4896236725
26	0.4848649763
27	0.4806550545
28	0.4778260783
29	0.4753095419
30	0.4725392857
31	0.4695861291
32	0.4672189489
33	0.4644011215
34	0.4618657033
35	0.4595615562
36	0.4576474413
37	0.4556339375
38	0.4534253837
39	0.4513373433
40	0.4496489232
41	0.4471604905
42	0.4453941362
43	0.4438736493
44	0.4416909299
45	0.4397198808
46	0.438359044
47	0.4369317125
48	0.4356405878
49	0.4338105809
50	0.4324420411
51	0.4312998759
52	0.4297341649
53	0.4288081249
54	0.4272853475
55	0.4261631751
56	0.4252817604
57	0.4243375909
58	0.4232423147
59	0.4223757947
60	0.4214983382
61	0.4206828733
62	0.419893928
63	0.4187273146
64	0.4179685026
65	0.4170753912
66	0.4162107335
67	0.4153684923
68	0.4146394899
69	0.4139939738
70	0.4133149847
71	0.4125420731
72	0.4119784895
73	0.411343458
74	0.4107523389
75	0.4101515528
76	0.4092799004
77	0.4086888237
78	0.4082275541
79	0.4077020121
80	0.4070556517
81	0.4066336255
82	0.4061917703
83	0.4055091537
84	0.4049753926
85	0.4044913237
86	0.4039623067
87	0.4034922187
88	0.4030183432
89	0.4026037555
90	0.4023330511
91	0.4019262488
92	0.4015570676
93	0.4009954453
94	0.400594884
95	0.399989935
96	0.399365185
97	0.3989738302
98	0.3986087164
99	0.3981891795
100	0.3977168225
101	0.3974475073
102	0.397085948
103	0.3967610186
104	0.3962979453
105	0.3960172792
106	0.3957854046
107	0.3953388633
108	0.3948355893
109	0.3944889416
110	0.3940617997
111	0.3937427058
112	0.3934390084
113	0.3932017352
114	0.3929153041
115	0.392634877
116	0.3921551869
117	0.3917990753
118	0.3916204009
119	0.39137052
120	0.3910411956
121	0.3907695525
122	0.3905024456
123	0.3900394598
124	0.3897736594
125	0.3895613592
126	0.3892163434
127	0.3889144957
128	0.3886970242
129	0.3882178626
130	0.3880292913
131	0.3877408422
132	0.3875195891
133	0.3874777769
134	0.3872176087
135	0.3870039367
136	0.386648838
137	0.3864246305
138	0.3864056099
139	0.3860779437
140	0.3857883844
141	0.3855294012
142	0.3853285945
143	0.3850507085
144	0.3848008936
145	0.3845530874
146	0.3842340829
147	0.3840541824
148	0.3837942143
149	0.3834835493
150	0.3832937033
151	0.3830943668
152	0.3829332581
153	0.3826764835
154	0.3825160339
155	0.3823253835
156	0.382032571
157	0.3818741685
158	0.3815849786
159	0.3814315984
160	0.3813054283
161	0.3811089675
162	0.3809242621
163	0.3807828072
164	0.3805739923
165	0.3804673461
166	0.3802874844
167	0.3800494207
168	0.3797965245
169	0.3795892075
170	0.3794168074
171	0.379257446
172	0.3790903862
173	0.3787527359
174	0.3785950479
175	0.3783879744
176	0.3780770451
177	0.3779517888
178	0.3776409109
179	0.3774425606
180	0.3773598924
181	0.3770976281
182	0.3768839905
183	0.3766474679
184	0.3764396319
185	0.3762579887
186	0.376115417
187	0.3759466599
188	0.3758241725
189	0.3756057704
190	0.3753552678
191	0.3751576934
192	0.3750485726
193	0.3748064276
194	0.3745910647
195	0.374412285
196	0.3742322075
197	0.3740992781
198	0.3739570662
199	0.373855107
200	0.3736877812
201	0.3735735345
202	0.3734705484
203	0.373279056
204	0.3731386902
205	0.3729697866
206	0.3728158431
207	0.3725572004
208	0.3723209483
209	0.3721620233
210	0.3720277933
211	0.3719013627
212	0.3717003162
213	0.3714563192
214	0.3712897128
215	0.3711187834
216	0.3709809238
217	0.37086513
218	0.370681879
219	0.3705644538
220	0.3703366455
221	0.3701204158
222	0.3699849433
223	0.3698876673
224	0.3697998464
225	0.369741867
